# airfoil   dx      size     px     py     deg
UIUC
dae51       0.0     100.0    0.25    0.025     0.0 
dae51       100.0   150.0    0.25    0.025     0.0 
dae51       200.0   200.0    0.25    0.025     0.0 
dae51       300.0   250.0    0.25    0.025     0.0 
dae51       400.0   300.0    0.25    0.025     0.0 
dae51       500.0   350.0    0.25    0.025     0.0 
dae51       600.0   400.0    0.25    0.025     0.0 
dae51       700.0   450.0    0.25    0.025     0.0 
dae51       800.0   500.0    0.25    0.025     0.0 
dae51       900.0   550.0    0.25    0.025     0.0 
